observations,subject_ids,lh_G_and_S_frontomargin,lh_G_and_S_occipital_inf,lh_G_and_S_paracentral,lh_G_and_S_subcentral,lh_G_and_S_transv_frontopol
0,AnnArbor_a_sub04111,-0.8086590601588995,-2.1157307435009205,-1.7829572274567915,-0.852241131044719,-0.9685453178383915
1,AnnArbor_a_sub04619,-2.904430662542753,-0.915818728703853,-0.9488863851788539,-2.135934933681179,-1.7984822848963462
4,AnnArbor_a_sub20317,-1.0248627499406535,-1.689124889930557,-0.7036367733907364,-0.86248702344478,-0.9103355467500802
6,AnnArbor_a_sub30421,-0.8893648487396408,-1.1223160776094434,-1.5271277630232583,-1.369227832784826,-1.4226382853520536
8,AnnArbor_a_sub38614,-1.507043982768485,-1.0913146902073108,-4.908071329422418,-0.8440326437558578,-2.190743787404287
9,AnnArbor_a_sub45660,-2.4061222455810083,-0.9805093150847025,-1.533792580329951,-0.844237951682763,-1.024674158956111
10,AnnArbor_a_sub46727,-2.238108094930434,-1.052656969559883,-1.3029173236046723,-0.8667436937266011,-0.9776967805325184
11,AnnArbor_a_sub47191,-0.858717810427747,-2.145463108338943,-0.8106963692137586,-1.0039321427456749,-1.1961381262406556
12,AnnArbor_a_sub47659,-0.7357811382098269,-0.8400992598767911,-0.7867784229017422,-1.1514084982222457,-1.6880319990313033
13,AnnArbor_a_sub49687,-1.2954829766735598,-2.341114821402343,-1.5546893822997945,-1.0834834050843212,-1.482780385614607
14,AnnArbor_a_sub51248,-1.1822366955918306,-1.4375345318718786,-1.774734217775143,-1.1672697103647025,-0.6995407895887332
15,AnnArbor_a_sub56028,-0.86073035416349,-1.0706758422562335,-0.7203271589465108,-0.9933536627614898,-1.0468744587773477
17,AnnArbor_a_sub70106,-1.057999235659577,-1.0822965045882365,-1.090386389365754,-1.6375876868076686,-1.1824885153313438
18,AnnArbor_a_sub75922,-1.0472221363847432,-1.2388929648790241,-0.7334444491186045,-1.0452044696566798,-1.1512878473580122
19,AnnArbor_a_sub82334,-0.9124714479249582,-1.4059478723772993,-1.090189690678904,-0.9827772754397556,-0.9528046353045511
20,AnnArbor_a_sub86367,-1.279762160806943,-2.4359041710487017,-0.7139410836108514,-3.0337327057055643,-0.9215836310251201
21,AnnArbor_a_sub96621,-1.8619186987636076,-0.9879270957692632,-0.740746871718123,-0.8502896555748914,-0.8790574134593714
22,AnnArbor_b_sub00306,-1.2061773044903235,-0.8627600177971655,-0.8699919098140928,-1.243841515463665,-1.0529553113434542
23,AnnArbor_b_sub07921,-2.0454319641961605,-0.9961747099496968,-1.4192007575159737,-1.6874880885887493,-0.8994044312568072
24,AnnArbor_b_sub11043,-1.109994055681583,-0.9458291087281291,-0.7182356457425282,-0.8146186611660202,-3.5744846087058475
25,AnnArbor_b_sub18546,-1.5678297101378444,-0.9351265040206751,-0.6988301950386496,-0.9519937974661181,-0.8686556576937737
26,AnnArbor_b_sub26099,-1.6147083979179597,-3.0044539432825976,-1.359796780820027,-0.9622001531568687,-1.2454957078887585
27,AnnArbor_b_sub30250,-0.8246003830704172,-1.347375557932398,-1.8778137717135008,-0.8156849916735512,-1.4242583728126872
28,AnnArbor_b_sub33437,-1.9210706101836736,-1.0524691758748657,-0.8180282721933291,-1.383697332034541,-1.3142647485129835
29,AnnArbor_b_sub39635,-0.873147080026712,-0.9063413917235495,-0.7043942154435465,-1.2806932174966292,-0.9973822035747333
30,AnnArbor_b_sub39923,-1.7992134181036183,-0.8641671614110136,-0.7037085226855928,-0.5971151664104202,-2.808447730720224
31,AnnArbor_b_sub42616,-0.8202123696017234,-2.587250554302875,-1.5639823657374365,-1.2417427117141062,-1.7531938221464052
33,AnnArbor_b_sub45569,-1.5616444851587232,-2.261605626701586,-0.5234453263325245,-0.6984182210214723,-1.996916341497835
34,AnnArbor_b_sub50859,-1.251604629439416,-1.1474240533991988,-1.5458395203893789,-0.765633069128626,-1.4421452080019783
35,AnnArbor_b_sub53269,-4.635757815711116,-1.0135381805116306,-1.0985604295466849,-0.9660051803437529,-7.816822401253621
36,AnnArbor_b_sub53959,-0.8167684154330381,-0.8819107244506319,-0.8330398705786429,-1.7191964992932605,-0.9043365282864996
38,AnnArbor_b_sub57196,-1.9176002724515568,-0.8861885382510705,-1.2116594955868802,-2.4253073708184276,-3.5738068624882513
40,AnnArbor_b_sub62819,-1.6298297110480235,-0.9493909750849188,-0.571431905277574,-0.6024413419397324,-1.1117553735348442
41,AnnArbor_b_sub64831,-2.257681109609363,-0.8944607696520491,-1.3875546647629127,-1.3210897337022816,-1.038516101200269
42,AnnArbor_b_sub64969,-1.2006863664867924,-0.9724348211252717,-0.7182356457425282,-1.0864385783704626,-0.8799841198720781
43,AnnArbor_b_sub66506,-1.728603832955593,-0.8457847125177186,-1.8644356099283896,-1.3487077199614999,-1.5487665919287674
45,AnnArbor_b_sub73168,-1.3909235919437546,-0.8346226614991139,-1.3587703767553936,-0.7758358208509085,-1.955748718241631
46,AnnArbor_b_sub73812,-1.9138313707640033,-2.7760299996137716,-0.8157490955716462,-1.2102877433014463,-1.8075626608986899
48,AnnArbor_b_sub85257,-0.8787625172569192,-0.8264355154347327,-0.6676188531610819,-0.8458951522118808,-0.8124712044103971
49,AnnArbor_b_sub90127,-2.166122158435857,-1.2219107869870824,-1.404347641924526,-0.6791371478235653,-1.8467917922778163
50,AnnArbor_b_sub90950,-3.4154377458881173,-1.1864619855479972,-0.5342697654287514,-0.7626619675733527,-2.5617319084235097
51,AnnArbor_b_sub97518,-0.8338652085297702,-0.9381292493806543,-0.6851507796328536,-0.9659222001631941,-0.8687731075935394
53,AnnArbor_b_sub99692,-1.0888421603251592,-1.9694056869953855,-1.3513467064808142,-0.6218669633984689,-3.314799063883263
55,Atlanta_sub00368,-1.6529738890739023,-0.9436166698269755,-1.0347967926897363,-0.9898717790337994,-1.878175953067516
56,Atlanta_sub06870,-2.2970411532327684,-2.181776661781993,-1.1109660370035892,-1.6924428306506225,-1.3656849832352582
59,Atlanta_sub16563,-0.8110313925462025,-0.883683891374689,-0.7600592291072131,-0.9327681502448365,-0.7326266713171367
60,Atlanta_sub18219,-1.7143837259924082,-0.8278664238186223,-1.377168429480217,-1.291310478396542,-0.8701600318663096
61,Atlanta_sub18702,-1.4930377543458095,-0.8680892672338899,-0.6874326076576789,-1.1220426377150827,-0.8094243793531436
62,Atlanta_sub24972,-2.09753434418839,-1.372077395216445,-0.8400243010170476,-2.3143824294342608,-2.204574182449368
63,Atlanta_sub26938,-0.7553895642330845,-0.953884838123994,-1.4721451229089153,-1.5969464191751157,-1.3339263927212779
64,Atlanta_sub32093,-0.7619284579704828,-1.3582318460289964,-2.3926959931584344,-0.9158730838808968,-2.078288867233603
65,Atlanta_sub49816,-0.8234033035569417,-1.0976614223026024,-0.8669174302474378,-0.8508491834897286,-1.018000007060859
66,Atlanta_sub52783,-0.8196089554776134,-0.8623218801546142,-0.7203966233239846,-2.1968535878154154,-1.034959141650707
67,Atlanta_sub53122,-0.831767367093386,-0.9991963892359652,-1.1678537962015485,-2.136826702766909,-0.8709650891794145
68,Atlanta_sub55652,-0.9827333087466396,-1.1422508810049925,-0.7047155709788697,-2.0634659998047393,-1.3928392811489174
69,Atlanta_sub58250,-0.7846373450225063,-0.9572977310586989,-1.689725692701269,-1.1866789747316329,-0.7763125285183248
70,Atlanta_sub59806,-0.8805797380292106,-1.1295358355795526,-1.0912915168621329,-1.046264366247091,-1.119358678963338
71,Atlanta_sub60499,-0.8146779093412497,-3.6705899092285192,-1.076796805487487,-1.1343266525867388,-1.4568947322582078
72,Atlanta_sub61442,-0.9521039214949651,-4.265440479219847,-1.1900031071129185,-1.9210550668407786,-2.265905152310072
73,Atlanta_sub61902,-0.913792434668754,-1.0491081837449479,-1.0847599452729897,-1.527375135647247,-0.8047993289544718
75,Atlanta_sub72096,-1.9761282486660299,-1.2351925387325724,-0.7316499923119864,-0.8649193842863778,-0.8051061805274516
76,Atlanta_sub72971,-0.8093431933212134,-1.315682923437929,-0.9688772921308921,-1.9216469197957695,-1.2928455372997252
77,Atlanta_sub75153,-2.238295567975489,-1.6615318348774624,-0.8928592992037079,-0.8520296376623628,-2.5672147116484463
78,Atlanta_sub76280,-2.428888977955638,-0.8375397095721907,-1.5908060402129323,-0.8170372338932509,-1.3112066174859691
80,Atlanta_sub86323,-0.7323650794260074,-1.656990357685116,-0.6888012236586081,-1.0961062919037527,-0.8354577058421165
82,Baltimore_sub17017,-1.143711111461935,-2.5254328310821026,-0.7325065794461947,-1.0413040106016433,-0.822543587996821
85,Baltimore_sub23927,-1.0005094402446861,-1.2109218458317048,-0.6655289863435312,-0.9314504430315219,-0.8359976348459436
86,Baltimore_sub29158,-0.8152239828225998,-1.47793692375896,-1.9945858270547911,-1.4550306396721135,-0.9439192708237748
87,Baltimore_sub30072,-0.7740580203498183,-0.9052478230872765,-0.9860097890094641,-1.499633514550983,-0.7821760311720074
89,Baltimore_sub37548,-0.8566170371733315,-0.8242895050869851,-1.030395180458204,-0.8530869836198012,-0.7806038702056832
90,Baltimore_sub52358,-1.15010689713007,-1.0953454864045395,-0.7845602673735125,-1.1454165539211982,-1.066660713142018
91,Baltimore_sub54257,-0.9535058128316279,-1.728146942104893,-0.8472358609571988,-1.1854874608974502,-1.3162421514507374
92,Baltimore_sub54329,-0.7501333537399605,-0.8597500062253796,-0.6991073310800123,-0.929920211341335,-0.7336912503506251
93,Baltimore_sub73823,-1.2340866050757706,-0.8345331169032297,-0.7432786108653161,-0.862644387916002,-0.8014792064706379
94,Baltimore_sub76160,-1.3515693131975426,-0.8845140488290304,-1.4354316314573972,-0.8791681232623393,-0.7741849451905243
95,Baltimore_sub77572,-0.8889360069818169,-0.8254569959988526,-0.747249047200808,-0.8316390763942492,-0.7620365758625083
97,Baltimore_sub81887,-1.1604622271181688,-0.8322921978001823,-1.1974196153399987,-1.0480006578745726,-0.7148103759728173
98,Baltimore_sub85922,-1.0745125503813038,-1.37633164830353,-0.8662390047547647,-0.9199636537936831,-0.7297490192402133
99,Baltimore_sub86414,-2.577207544212738,-1.055798878803223,-0.7688356029230855,-1.2342925628139068,-1.5198064405486038
100,Baltimore_sub90658,-0.9631828042953215,-1.8085531110473179,-0.7226729273489914,-0.8644802246775195,-0.8235415909056288
102,Baltimore_sub91622,-0.9218609112329647,-0.8496380856884146,-0.9317692421360052,-1.7948292565098372,-0.8504646248706623
103,Baltimore_sub94042,-0.8407326174380699,-1.0414833190464772,-0.7813442039894215,-1.0242582693164728,-0.8516806235240982
104,Baltimore_sub96234,-0.8979441413047451,-0.90673539431864,-1.4352777348697752,-0.9792407844963941,-0.808525364343239
105,Bangor_sub00031,-1.988451826283851,-0.8904055540266195,-0.776795459726874,-1.187446461269305,-0.8148564853969505
106,Bangor_sub01903,-0.8153513653176938,-1.6430950381285598,-1.14470707277026,-1.3607749243125784,-0.8642288018232555
107,Bangor_sub03557,-0.8093422087581306,-0.8650505694159935,-2.4682337217355936,-0.8385737984866665,-0.839872805697794
108,Bangor_sub04097,-0.8328833756912009,-0.8556667753305719,-2.3791767365063,-0.9450022657859897,-1.3549963364339412
109,Bangor_sub14388,-0.9876771538716471,-1.5138560096993752,-0.7671467465336582,-1.3957602743356128,-1.3945364598309797
110,Bangor_sub27519,-0.8147239981186206,-0.9826636247509525,-0.6992381235160136,-2.40008677443055,-0.8584759952943948
111,Bangor_sub36736,-0.8457581713180958,-0.9680516021659529,-1.141078245437131,-1.1309168920092938,-0.8733936913831352
113,Bangor_sub48632,-1.0557392958488794,-1.0031189729433687,-0.8672093547804703,-1.0624772916398397,-1.5679215118923342
114,Bangor_sub61418,-1.3433472492030478,-1.1005849626916782,-0.7098339795992283,-3.4989374509938025,-2.1970556448848275
116,Bangor_sub63767,-1.1727721222014245,-1.8684755835779916,-0.7150524625331651,-0.8925344780173367,-1.0495835231057873
