observations,centile,subject_ids,lh_G_and_S_frontomargin,lh_G_and_S_occipital_inf,lh_G_and_S_paracentral,lh_G_and_S_subcentral,lh_G_and_S_transv_frontopol
0,0.05,AnnArbor_a_sub04111,2.0186096661734827,2.005192736295895,1.9585711343514491,2.323413537850649,2.2560619217312654
0,0.25,AnnArbor_a_sub04111,2.174289467038208,2.158374218019406,2.100758350920941,2.480053793217249,2.4371033631872914
0,0.5,AnnArbor_a_sub04111,2.282500863310429,2.26484905886759,2.199591193406492,2.5889327913371485,2.562943369753812
0,0.75,AnnArbor_a_sub04111,2.3907122595826493,2.3713238997157733,2.2984240358920425,2.697811789457049,2.688783376320333
0,0.95,AnnArbor_a_sub04111,2.5463920604473764,2.5245053814392833,2.4406112524615358,2.854452044823649,2.8698248177763594
1,0.05,AnnArbor_a_sub04619,2.0870998559617906,2.023358377967908,2.000290829389962,2.3920523657978885,2.3311983466547432
1,0.25,AnnArbor_a_sub04619,2.2544677355095377,2.1826035491032236,2.1457810970516125,2.554163436707767,2.5348180591431415
1,0.5,AnnArbor_a_sub04619,2.370803392649281,2.2932931968445796,2.2469098556974836,2.6668451413149405,2.676351985025173
1,0.75,AnnArbor_a_sub04619,2.487139049789024,2.4039828445859364,2.3480386143433543,2.7795268459221134,2.8178859109072043
1,0.95,AnnArbor_a_sub04619,2.6545069293367702,2.5632280157212515,2.4935288820050046,2.9416379168319904,3.0215056233956026
2,0.05,AnnArbor_a_sub13636,2.00897648906934,2.0001394405218473,1.9366180973822855,2.294798225434556,2.240143658326769
2,0.25,AnnArbor_a_sub13636,2.1610446574234285,2.152752420584785,2.0813183510542643,2.450972964308026,2.4144700720128784
2,0.5,AnnArbor_a_sub13636,2.2667456458288133,2.258832101893118,2.181897979264316,2.5595283867975,2.5356425332269956
2,0.75,AnnArbor_a_sub13636,2.372446634234198,2.364911783201452,2.282477607474369,2.668083809286974,2.656814994441112
2,0.95,AnnArbor_a_sub13636,2.5245148025882873,2.5175247632643893,2.427177861146347,2.8242585481604445,2.8311414081272206
3,0.05,AnnArbor_a_sub13959,2.007689786664702,1.9974852518279174,1.9233702184280523,2.2800323091606995,2.232926812446363
3,0.25,AnnArbor_a_sub13959,2.1578512780529233,2.149580438954484,2.0705677330983043,2.4362601910366855,2.4051788060599746
3,0.5,AnnArbor_a_sub13959,2.262226955303163,2.255300207825151,2.172883181228335,2.5448525526696613,2.5249093596454006
3,0.75,AnnArbor_a_sub13959,2.3666026325534024,2.361019976695818,2.2751986293583655,2.653444914302636,2.6446399132308263
3,0.95,AnnArbor_a_sub13959,2.516764123941623,2.513115163822385,2.422396144028617,2.8096727961786225,2.81689190684444
4,0.05,AnnArbor_a_sub16960,2.1903219599900763,2.049763060551248,2.0234642428617278,2.4258042048529895,2.4757284039655505
4,0.25,AnnArbor_a_sub16960,2.375718354458209,2.2366378728939784,2.1756264315769367,2.597709791817385,2.6790054997727735
4,0.5,AnnArbor_a_sub16960,2.504585443173618,2.3665325943632536,2.281392772548924,2.7171995617752525,2.82030127639427
4,0.75,AnnArbor_a_sub16960,2.633452531889026,2.496427315832529,2.387159113520911,2.83668933173312,2.961597053015766
4,0.95,AnnArbor_a_sub16960,2.818848926357157,2.6833021281752583,2.5393213022361194,3.0085949186975167,3.1648741488229906
5,0.05,AnnArbor_a_sub18698,2.008963800666153,2.0001265773486496,1.9365567911217214,2.294726018523693,2.2401066146801365
5,0.25,AnnArbor_a_sub18698,2.161022682110947,2.152737308142835,2.0812671554278324,2.4509005488188658,2.414420419839883
5,0.5,AnnArbor_a_sub18698,2.266717215283113,2.2588154260080553,2.181853811433595,2.5594558263277536,2.5355841169996083
5,0.75,AnnArbor_a_sub18698,2.372411748455279,2.364893543873276,2.282440467439357,2.668011103836642,2.656747814159333
5,0.95,AnnArbor_a_sub18698,2.5244706299000725,2.517504274667461,2.4271508317454673,2.824185634131815,2.831061619319081
6,0.05,AnnArbor_a_sub20317,2.132513917233239,2.0353311496730164,2.012654997998516,2.411663223119673,2.390752070570867
6,0.25,AnnArbor_a_sub20317,2.3074025531754403,2.204548735192012,2.161175355943387,2.5778938462500482,2.5972538451490714
6,0.5,AnnArbor_a_sub20317,2.428965809181232,2.322170103546249,2.264410298555045,2.693439008385561,2.740791062152679
6,0.75,AnnArbor_a_sub20317,2.550529065187023,2.439791471900486,2.3676452411667026,2.8089841705210743,2.8843282791562865
6,0.95,AnnArbor_a_sub20317,2.7254177011292247,2.6090090574194806,2.516165599111573,2.9752147936514497,3.090830053734491
7,0.05,AnnArbor_a_sub28433,2.0471854658058737,2.013089468990151,1.9831612757200918,2.3627969381663974,2.2858542459676827
7,0.25,AnnArbor_a_sub28433,2.208189418805895,2.16715252122672,2.1259742951225036,2.521528260242017,2.480265261794232
7,0.5,AnnArbor_a_sub28433,2.320101577369214,2.274240132489565,2.225242126591628,2.6318607368930076,2.6153983192393104
7,0.75,AnnArbor_a_sub28433,2.432013735932533,2.381327743752411,2.3245099580607516,2.742193213543999,2.750531376684389
7,0.95,AnnArbor_a_sub28433,2.5930176889325542,2.5353907959889788,2.467322977463162,2.9009245356196187,2.944942392510937
8,0.05,AnnArbor_a_sub30421,2.099881483051775,2.026724138994223,2.0042724981289215,2.398617931814927,2.347192397256894
8,0.25,AnnArbor_a_sub30421,2.269316322846413,2.188395549084878,2.1506345824379007,2.561862321646235,2.552265695143302
8,0.5,AnnArbor_a_sub30421,2.387088702368334,2.3007716500692936,2.2523693316886977,2.6753317843455213,2.694809992985252
8,0.75,AnnArbor_a_sub30421,2.504861081890254,2.41314775105371,2.3541040809394955,2.788801247044807,2.8373542908272023
8,0.95,AnnArbor_a_sub30421,2.6742959216848927,2.5748191611443634,2.5004661652484748,2.9520456368761145,3.0424275887136107
9,0.05,AnnArbor_a_sub34781,2.065022821806312,2.0176275674809947,1.991985358106114,2.3779470911946032,2.3052105959819422
9,0.25,AnnArbor_a_sub34781,2.228875945830515,2.1735021808713575,2.1359582324549193,2.5381529285128885,2.5047658083225532
9,0.5,AnnArbor_a_sub34781,2.342768533280772,2.281848989286279,2.2360322669287074,2.6495103252392322,2.6434745427944097
9,0.75,AnnArbor_a_sub34781,2.4566611207310283,2.3901957977012,2.3361063014024954,2.760867721965577,2.7821832772662662
9,0.95,AnnArbor_a_sub34781,2.6205142447552334,2.546070411091563,2.480079175751301,2.921073559283861,2.9817384896068773
10,0.05,AnnArbor_a_sub38614,2.155718355482632,2.041320110207966,2.0174963191657165,2.418484512323679,2.4237874412683453
10,0.25,AnnArbor_a_sub38614,2.3346785834673676,2.2169846143295024,2.167496545173431,2.586926805698182,2.6297311901749705
10,0.5,AnnArbor_a_sub38614,2.4590719603849687,2.339087168166756,2.2717601285495914,2.7040092766167305,2.772880529388769
10,0.75,AnnArbor_a_sub38614,2.583465337302569,2.461189722004011,2.3760237119257512,2.821091747535279,2.9160298686025685
10,0.95,AnnArbor_a_sub38614,2.7624255652873044,2.636854226125544,2.5260239379334664,2.98953404090978,3.1219736175091946
11,0.05,AnnArbor_a_sub45660,2.1169446788224606,2.0312349287138716,2.008925824124244,2.406018500597167,2.3695121932501606
11,0.25,AnnArbor_a_sub45660,2.289195672045994,2.196621757918123,2.1564290777660764,2.5708074499068374,2.5756981338488525
11,0.5,AnnArbor_a_sub45660,2.4089255302707704,2.311580407748218,2.2589570418476037,2.6853505196948446,2.7190158179668624
11,0.75,AnnArbor_a_sub45660,2.5286553884955474,2.4265390575783132,2.361485005929132,2.7998935894828527,2.8623335020848724
11,0.95,AnnArbor_a_sub45660,2.7009063817190793,2.591925886782564,2.5089882595709647,2.9646825387925237,3.0685194426835647
12,0.05,AnnArbor_a_sub46727,2.190438688175094,2.039083184144422,2.0253414423214484,2.4032345540812194,2.493361236138805
12,0.25,AnnArbor_a_sub46727,2.374520952642914,2.2235834953506317,2.1770765904617786,2.5744358475665026,2.6973171837895724
12,0.5,AnnArbor_a_sub46727,2.502474603382252,2.3518277259919014,2.28254610001045,2.6934360705161073,2.8390848232053667
12,0.75,AnnArbor_a_sub46727,2.6304282541215893,2.4800719566331706,2.3880156095591207,2.812436293465712,2.980852462621162
12,0.95,AnnArbor_a_sub46727,2.81451051858941,2.6645722678393793,2.5397507576994527,2.9836375869509935,3.1848084102719283
13,0.05,AnnArbor_a_sub47191,2.011594518384626,2.002079946314672,1.945543808096211,2.305736802347571,2.2459462485995036
13,0.25,AnnArbor_a_sub47191,2.165060756356864,2.15499011825586,2.088938844462359,2.46199848105631,2.4224428904770465
13,0.5,AnnArbor_a_sub47191,2.2717335282860276,2.261276374520788,2.1886112298167664,2.5706143345131527,2.545123854538159
13,0.75,AnnArbor_a_sub47191,2.378406300215191,2.3675626307857156,2.2882836151711743,2.6792301879699956,2.6678048185992727
13,0.95,AnnArbor_a_sub47191,2.531872538187428,2.520472802726904,2.431678651537321,2.8354918666787343,2.8443014604768146
14,0.05,AnnArbor_a_sub47659,2.0083973528677332,1.9955973797553102,1.9132520650423603,2.2697840375397194,2.228338817681431
14,0.25,AnnArbor_a_sub47659,2.157244151303431,2.147307737262304,2.0627140168725044,2.426152243964937,2.3998071284078084
14,0.5,AnnArbor_a_sub47659,2.2607059992754275,2.2527600151018317,2.1666034515151185,2.5348421437198727,2.5189929522402954
14,0.75,AnnArbor_a_sub47659,2.364167847247422,2.3582122929413583,2.270492886157733,2.643532043474809,2.638178776072783
14,0.95,AnnArbor_a_sub47659,2.5130146456831217,2.509922650448351,2.419954837987877,2.7999002499000274,2.809647086799159
15,0.05,AnnArbor_a_sub49687,2.195081986878144,2.050860917125797,2.024185452520524,2.426581692805018,2.483098829121209
15,0.25,AnnArbor_a_sub49687,2.38140196245588,2.239427770388617,2.1766440921678423,2.598981524491296,2.6858659127927407
15,0.5,AnnArbor_a_sub49687,2.5109110227108573,2.370498611749462,2.2826164930725343,2.718814838769994,2.826807185329491
15,0.75,AnnArbor_a_sub49687,2.640420082965835,2.5015694531103074,2.3885888939772264,2.838648153048691,2.9677484578662408
15,0.95,AnnArbor_a_sub49687,2.82674005854357,2.6901363063731267,2.541047533624543,3.0110479847349705,3.1705155415377737
16,0.05,AnnArbor_a_sub51248,2.017246745675038,1.9892118611579261,1.8777986668092377,2.2394203945754754,2.2151984182421605
16,0.25,AnnArbor_a_sub51248,2.162913744180631,2.141488799722472,2.0360302445930936,2.3960112482238016,2.3890108058140114
16,0.5,AnnArbor_a_sub51248,2.2641653465819624,2.24733490211084,2.146015354229928,2.5048559077276273,2.5098259728689913
16,0.75,AnnArbor_a_sub51248,2.3654169489832935,2.353181004499208,2.2560004638667617,2.61370056723145,2.630641139923973
16,0.95,AnnArbor_a_sub51248,2.5110839474888875,2.5054579430637545,2.414232041650618,2.770291420879777,2.8044535274958236
17,0.05,AnnArbor_a_sub56028,2.0232147581771254,1.9952261585593172,1.9579205172957093,2.296935808153277,2.281209241024227
17,0.25,AnnArbor_a_sub56028,2.1782595295244827,2.1483573012156354,2.1003476278238224,2.45343560430938,2.4608062945226705
17,0.5,AnnArbor_a_sub56028,2.2860295234415666,2.254797151906345,2.1993472180831715,2.5622169707056868,2.5856423221736193
17,0.75,AnnArbor_a_sub56028,2.393799517358651,2.361237002597054,2.29834680834252,2.670998337101993,2.710478349824568
17,0.95,AnnArbor_a_sub56028,2.548844288706007,2.5143681452533735,2.440773918870633,2.8274981332580977,2.8900754033230114
18,0.05,AnnArbor_a_sub56686,2.0609519134460164,2.0057428228722927,1.9897837206919224,2.347722334910422,2.321211593178625
18,0.25,AnnArbor_a_sub56686,2.2230484058708115,2.160385993601178,2.133020946267865,2.5070060032592845,2.5178135178753354
18,0.5,AnnArbor_a_sub56686,2.3357199771259536,2.267876839141742,2.232583638997668,2.6177224100098844,2.6544694530902238
18,0.75,AnnArbor_a_sub56686,2.448391548381095,2.375367684682306,2.3321463317274715,2.7284388167604843,2.791125388305113
18,0.95,AnnArbor_a_sub56686,2.6104880408058895,2.5300108554111924,2.475383557303415,2.8877224851093453,2.987727313001823
19,0.05,AnnArbor_a_sub70106,2.102740196443081,2.0274794645934096,2.0051000569146193,2.3999582636912953,2.3508572757078405
19,0.25,AnnArbor_a_sub70106,2.2726419584376414,2.189736536359005,2.1516552668092475,2.563458911509725,2.5561790485786937
19,0.5,AnnArbor_a_sub70106,2.390738890682032,2.3025197246292257,2.253524255628459,2.677106496447339,2.6988960587754653
19,0.75,AnnArbor_a_sub70106,2.5088358229264216,2.4153029128994463,2.355393244447671,2.790754081384953,2.841613068972236
19,0.95,AnnArbor_a_sub70106,2.678737584920983,2.5775599846650423,2.501948454342299,2.954254729203383,3.046934841843089
20,0.05,AnnArbor_a_sub75922,2.092657093989978,2.0248188524341413,2.0020822346033356,2.395028219958189,2.3380717770033392
20,0.25,AnnArbor_a_sub75922,2.260919758644992,2.1850793904078434,2.1479530783883307,2.5576295155953197,2.542395105186972
20,0.5,AnnArbor_a_sub75922,2.377877371525192,2.2964748089858786,2.24934637150474,2.670651970267233,2.684418106956803
20,0.75,AnnArbor_a_sub75922,2.4948349844053923,2.4078702275639134,2.3507396646211487,2.7836744249391465,2.826441108726634
20,0.95,AnnArbor_a_sub75922,2.663097649060406,2.568130765537615,2.496610508406145,2.9462757205762786,3.0307644369102666
21,0.05,AnnArbor_a_sub82334,2.15547575073994,2.0412585548090756,2.017449544611683,2.418421882250959,2.4234341348548183
21,0.25,AnnArbor_a_sub82334,2.3343924626789185,2.216851189081702,2.167434474954234,2.5868406291477175,2.629389354891042
21,0.5,AnnArbor_a_sub82334,2.458755592049661,2.3389037869410005,2.271687426474012,2.7039067331566247,2.7725466675666763
21,0.75,AnnArbor_a_sub82334,2.583118721420404,2.4609563848002987,2.3759403779937904,2.8209728371655314,2.9157039802423097
21,0.95,AnnArbor_a_sub82334,2.7620354333593826,2.636549019072924,2.5259253083363404,2.9893915840622918,3.1216592002785335
22,0.05,AnnArbor_a_sub86367,2.153544257480592,2.040767545486582,2.0170744495235713,2.4179171027018023,2.420627029498109
22,0.25,AnnArbor_a_sub86367,2.3321152621551278,2.215791333015127,2.166937492616886,2.5861487191984667,2.6266695941124727
22,0.5,AnnArbor_a_sub86367,2.456238094033331,2.33744853147065,2.2711057215884956,2.70308475082954,2.7698876190879993
22,0.75,AnnArbor_a_sub86367,2.580360925911533,2.4591057299261725,2.3752739505601053,2.8200207824606136,2.913105644063526
22,0.95,AnnArbor_a_sub86367,2.7589319305860687,2.634129517454719,2.5251369936534207,2.988252398957278,3.1191482086778897
23,0.05,AnnArbor_a_sub96621,2.14048601817107,2.03740894951542,2.0144063785921746,2.414204836364488,2.401924124728531
23,0.25,AnnArbor_a_sub96621,2.3167534838817816,2.2087434669379293,2.1634394431301507,2.5811863794924075,2.6083627886848326
23,0.5,AnnArbor_a_sub96621,2.4392751499937235,2.3278362924485863,2.2670307627156334,2.6972534982399647,2.751856138157279
23,0.75,AnnArbor_a_sub96621,2.5617968161056655,2.4469291179592436,2.370622082301116,2.8133206169875216,2.8953494876297245
23,0.95,AnnArbor_a_sub96621,2.738064281816378,2.618263635381753,2.519655146839092,2.9803021601154436,3.1017881515860255
24,0.05,AnnArbor_b_sub00306,1.9769644311887111,1.9648193873576392,1.8816144240308967,2.222699710967458,2.141053878555314
24,0.25,AnnArbor_b_sub00306,2.163330722411394,2.149730904408593,2.034919587700075,2.3604327358443866,2.358222568383415
24,0.5,AnnArbor_b_sub00306,2.292871976185254,2.278260959918393,2.141480398571087,2.456169516415422,2.5091742462656823
24,0.75,AnnArbor_b_sub00306,2.4224132299591146,2.406791015428192,2.248041209442098,2.5519062969864588,2.6601259241479482
24,0.95,AnnArbor_b_sub00306,2.608779521181796,2.5917025324791445,2.4013463731112754,2.6896393218633876,2.877294613976052
25,0.05,AnnArbor_b_sub07921,2.2347254977178155,1.9781763480914853,2.0328053725905275,2.3927719741601585,2.4314481577742675
25,0.25,AnnArbor_b_sub07921,2.4004848257253038,2.135746596469208,2.1776025051801398,2.5540053493660997,2.633484141783867
25,0.5,AnnArbor_b_sub07921,2.515702395565474,2.245272022974152,2.278249472909437,2.666076976897779,2.7739172346159133
25,0.75,AnnArbor_b_sub07921,2.6309199654056417,2.354797449479097,2.378896440638735,2.7781486044294583,2.914350327447961
25,0.95,AnnArbor_b_sub07921,2.79667929341313,2.512367697856821,2.523693573228347,2.9393819796353986,3.1163863114575605
26,0.05,AnnArbor_b_sub11043,2.209606237113272,1.9717345881160362,2.021797203058534,2.373900500688697,2.4032114191799905
26,0.25,AnnArbor_b_sub11043,2.371372700034677,2.1261866198392347,2.1649024853380663,2.5330151620818713,2.59918084612909
26,0.5,AnnArbor_b_sub11043,2.4838148712445047,2.2335446066622726,2.264373465666813,2.643614093870703,2.7353971387954417
26,0.75,AnnArbor_b_sub11043,2.596257042454332,2.3409025934853105,2.36384444599556,2.7542130256595354,2.871613431461792
26,0.95,AnnArbor_b_sub11043,2.758023505375737,2.495354625208509,2.5069497282750923,2.913327687052709,3.0675828584108933
27,0.05,AnnArbor_b_sub18546,2.214220418670577,1.9837530781023105,2.024405573852277,2.4048235739374206,2.387711085279142
27,0.25,AnnArbor_b_sub18546,2.377832858656655,2.139438847260288,2.1682754283424672,2.5649012694593996,2.5869014311884384
27,0.5,AnnArbor_b_sub18546,2.491558149157138,2.2476543920305305,2.2682778547933613,2.676169596167527,2.72535655083187
27,0.75,AnnArbor_b_sub18546,2.6052834396576205,2.3558699368007736,2.368280281244255,2.7874379228756543,2.863811670475302
27,0.95,AnnArbor_b_sub18546,2.768895879643699,2.5115557059587506,2.5121501357344456,2.9475156183976337,3.0630020163845995
28,0.05,AnnArbor_b_sub26099,1.9054970696937885,1.9960409283441363,1.7816048734464796,2.1973831304563167,1.990756017178176
28,0.25,AnnArbor_b_sub26099,2.1103606283403775,2.1670702730252973,1.98148570116432,2.339444222590993,2.252646862247013
28,0.5,AnnArbor_b_sub26099,2.252759138637201,2.285950976165151,2.120420767468708,2.438189397305133,2.434684441036283
28,0.75,AnnArbor_b_sub26099,2.395157648934024,2.404831679305005,2.259355833773095,2.5369345720192733,2.616722019825554
28,0.95,AnnArbor_b_sub26099,2.6000212075806113,2.5758610239861657,2.459236661490936,2.67899566415395,2.878612864894392
29,0.05,AnnArbor_b_sub30250,2.2347254977178155,1.9781763480914853,2.0328053725905275,2.3927719741601585,2.4314481577742675
29,0.25,AnnArbor_b_sub30250,2.4004848257253038,2.135746596469208,2.1776025051801398,2.5540053493660997,2.633484141783867
29,0.5,AnnArbor_b_sub30250,2.515702395565474,2.245272022974152,2.278249472909437,2.666076976897779,2.7739172346159133
29,0.75,AnnArbor_b_sub30250,2.6309199654056417,2.354797449479097,2.378896440638735,2.7781486044294583,2.914350327447961
29,0.95,AnnArbor_b_sub30250,2.79667929341313,2.512367697856821,2.523693573228347,2.9393819796353986,3.1163863114575605
30,0.05,AnnArbor_b_sub33437,2.2347254977178155,1.9781763480914853,2.0328053725905275,2.3927719741601585,2.4314481577742675
30,0.25,AnnArbor_b_sub33437,2.4004848257253038,2.135746596469208,2.1776025051801398,2.5540053493660997,2.633484141783867
30,0.5,AnnArbor_b_sub33437,2.515702395565474,2.245272022974152,2.278249472909437,2.666076976897779,2.7739172346159133
30,0.75,AnnArbor_b_sub33437,2.6309199654056417,2.354797449479097,2.378896440638735,2.7781486044294583,2.914350327447961
30,0.95,AnnArbor_b_sub33437,2.79667929341313,2.512367697856821,2.523693573228347,2.9393819796353986,3.1163863114575605
31,0.05,AnnArbor_b_sub39635,2.2347254977178155,1.9781763480914853,2.0328053725905275,2.3927719741601585,2.4314481577742675
31,0.25,AnnArbor_b_sub39635,2.4004848257253038,2.135746596469208,2.1776025051801398,2.5540053493660997,2.633484141783867
31,0.5,AnnArbor_b_sub39635,2.515702395565474,2.245272022974152,2.278249472909437,2.666076976897779,2.7739172346159133
31,0.75,AnnArbor_b_sub39635,2.6309199654056417,2.354797449479097,2.378896440638735,2.7781486044294583,2.914350327447961
31,0.95,AnnArbor_b_sub39635,2.79667929341313,2.512367697856821,2.523693573228347,2.9393819796353986,3.1163863114575605
32,0.05,AnnArbor_b_sub39923,1.9451652785932496,1.9823025570735973,1.8482317593218727,2.2289879483582458,2.0686354986117603
32,0.25,AnnArbor_b_sub39923,2.138810170314018,2.16285245843382,2.016685144170747,2.367977923598085,2.3015626329394365
32,0.5,AnnArbor_b_sub39923,2.2734107029309296,2.2883508006367235,2.1337753246567677,2.4645883971791323,2.4634678402642205
32,0.75,AnnArbor_b_sub39923,2.4080112355478414,2.413849142839627,2.250865505142788,2.5611988707601805,2.625373047589005
32,0.95,AnnArbor_b_sub39923,2.6016561272686087,2.5943990441998497,2.419318889991664,2.7001888460000214,2.85830018191668
33,0.05,AnnArbor_b_sub42616,2.209606237113272,1.9717345881160362,2.021797203058534,2.373900500688697,2.4032114191799905
33,0.25,AnnArbor_b_sub42616,2.371372700034677,2.1261866198392347,2.1649024853380663,2.5330151620818713,2.59918084612909
33,0.5,AnnArbor_b_sub42616,2.4838148712445047,2.2335446066622726,2.264373465666813,2.643614093870703,2.7353971387954417
33,0.75,AnnArbor_b_sub42616,2.596257042454332,2.3409025934853105,2.36384444599556,2.7542130256595354,2.871613431461792
33,0.95,AnnArbor_b_sub42616,2.758023505375737,2.495354625208509,2.5069497282750923,2.913327687052709,3.0675828584108933
34,0.05,AnnArbor_b_sub43409,1.932341286181776,1.9868154397418532,1.8289889018421934,2.219731755424834,2.044056063150416
