observations,subject_ids,lh_G_and_S_frontomargin,lh_G_and_S_occipital_inf,lh_G_and_S_paracentral,lh_G_and_S_subcentral,lh_G_and_S_transv_frontopol
0,AnnArbor_a_sub04111,-0.7676280401560559,-2.3867035109238097,-2.1851637938302044,-0.856995794460559,-0.8602971709201449
1,AnnArbor_a_sub04619,-3.1524295044496053,-0.9238645406508523,-1.091076548724891,-2.236854536538177,-1.9771108469186125
2,AnnArbor_a_sub13636,-0.8842935572254016,-3.575690094278487,-1.2586403508860118,-0.8225854844469676,-1.0318993983434694
3,AnnArbor_a_sub13959,-1.3759390196058272,-2.6687146800871107,-0.7822451779483349,-1.1156206768420636,-0.9990102806970352
4,AnnArbor_a_sub16960,-1.1653216640878672,-2.5353473821151056,-0.8802808231793693,-1.2419641094470715,-0.9576519012108813
5,AnnArbor_a_sub18698,-1.3934578511900966,-2.208497972250606,-1.5268524297759314,-1.4617271633166065,-0.9195244730961616
6,AnnArbor_a_sub20317,-0.9475271422175353,-1.488052514766459,-0.7488848731500758,-0.9255488064373755,-0.8878890348661882
7,AnnArbor_a_sub28433,-1.0884534745868064,-0.9146388502258515,-0.9013611262484177,-0.8709135780807141,-1.421896746307494
8,AnnArbor_a_sub30421,-0.9594415089153899,-1.2349281997003458,-1.733239585079196,-1.464837159491625,-1.246656590823198
9,AnnArbor_a_sub34781,-3.814544271624179,-0.8932640694902028,-1.3582553216613868,-2.3598942921294634,-8.088280471018141
10,AnnArbor_a_sub38614,-1.711945933133392,-1.0232430475841388,-4.589172823095877,-0.8963928666658056,-2.3561945176825803
11,AnnArbor_a_sub45660,-2.0514453477660317,-0.938218858810057,-1.7229251609590326,-0.8666934660850608,-0.9524785965231861
12,AnnArbor_a_sub46727,-2.5295172638300913,-1.047634241569786,-1.2067001968721247,-0.9309701583686537,-1.0748336174282922
13,AnnArbor_a_sub47191,-0.905289533347885,-2.431227844769361,-0.7304124786133552,-0.9408213934170974,-1.3271455830455374
14,AnnArbor_a_sub47659,-0.742517748674179,-0.8910153502294,-0.7463402043581564,-1.0526231327383109,-1.4224490122751312
15,AnnArbor_a_sub49687,-1.5080845172174453,-2.6163355757536584,-1.7067310964106082,-1.0570418499676513,-1.6173993288179696
16,AnnArbor_a_sub51248,-1.0714271542325084,-1.7869454227336827,-1.9949141320438102,-1.2986315558154307,-0.7431517984811503
17,AnnArbor_a_sub56028,-0.9172358654483751,-0.968818626001505,-0.8557136431319591,-0.9347711898444624,-0.9102511255414895
